question.code,question,state,year,applies to,response,citations,cautions,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,IA,1992,All,Yes,Iowa Code § 724.15,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,LA,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,AR,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MO,1992,All,Yes,§ 571.090 R.S.Mo,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MS,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,WI,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,IL,1992,All,Yes,"Ill. Rev. Stat., Ch. 38, para. 83-2; Ill. Rev. Stat., Ch. Ch.38, para. 83-3",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,AL,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,TN,1992,All,Yes,"Tenn. Code Ann. § 39-17-1316(b)(1), (d)",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,IN,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,KY,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MI,1992,All,Yes,"MCLS §§ 28.422, 28.426",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,GA,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,OH,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,FL,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,WV,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,SC,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NC,1992,All,Yes,N.C. Gen. Stat. § 14-402(a),,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,PA,1992,All,Yes,18 Pa. Cons. Stat. § 6111(b),"At the time of purchase, a buyer must fill out an application for purchase, which the seller then sends to local law enforcement. The firearm cannot be delivered until 48 hours elapse from the time of application.",
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,VA,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MD,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,DC,1992,All,Yes,D.C. Code § 6-2311, D.C. Code § 6-2352,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NY,1992,All,Yes,N.Y. Penal Law § 400.00(4),,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,DE,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NJ,1992,All,Yes,"N.J. Stat. § 2C:58-3(a), (b)",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,CT,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,VT,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NH,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MA,1992,All,Yes,"Mass. Gen. Laws ch. 140, § 128A",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,RI,1992,All,Yes,R.I. Gen. Laws § 11-47-35(a)(2), R.I. Gen. Laws § 11-47-35.2(b),
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,ME,1992,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,HI,1993,All,Yes,Haw. Rev. Stat. §134-2,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,AK,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,OR,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,WA,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,CA,1993,All,Yes,"Cal. Penal Code §§ 12072(c),(d), 12076(d), 12082(a)",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NV,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,ID,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,UT,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,AZ,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MT,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,WY,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NM,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,CO,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,ND,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,SD,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NE,1993,All,Yes,"Neb. Rev Stat. §§ 69-2403, 69-2404, 69-2411",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,TX,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,KS,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,OK,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MN,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,IA,1993,All,Yes,Iowa Code § 724.15,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,LA,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,AR,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MO,1993,All,Yes,§ 571.090 R.S.Mo,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MS,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,WI,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,IL,1993,All,Yes,430 Ill. Comp. Stat. 65/2, 430 Ill. Comp. Stat. 65/3,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,AL,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,TN,1993,All,Yes,"Tenn. Code Ann. § 39-17-1316(b)(1), (d)",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,IN,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,KY,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MI,1993,All,Yes,"MCLS §§ 28.422, 28.426",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,GA,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,OH,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,FL,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,WV,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,SC,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NC,1993,All,Yes,N.C. Gen. Stat. § 14-402(a),,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,PA,1993,All,Yes,18 Pa. Cons. Stat. § 6111(b),"At the time of purchase, a buyer must fill out an application for purchase, which the seller then sends to local law enforcement. The firearm cannot be delivered until 48 hours elapse from the time of application.",
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,VA,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MD,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,DC,1993,All,Yes,D.C. Code § 6-2311, D.C. Code § 6-2352,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NY,1993,All,Yes,N.Y. Penal Law § 400.00(4),,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,DE,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NJ,1993,All,Yes,"N.J. Stat. § 2C:58-3(a), (b)",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,CT,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,VT,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NH,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MA,1993,All,Yes,"Mass. Gen. Laws ch. 140, § 128A",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,RI,1993,All,Yes,R.I. Gen. Laws § 11-47-35(a)(2), R.I. Gen. Laws § 11-47-35.2(b),
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,ME,1993,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,HI,1994,All,Yes,Haw. Rev. Stat. §134-2,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,AK,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,OR,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,WA,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,CA,1994,All,Yes,"Cal. Penal Code §§ 12072(c),(d), 12076(d), 12082(a)",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NV,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,ID,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,UT,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,AZ,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MT,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,WY,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NM,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,CO,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,ND,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,SD,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NE,1994,All,Yes,"Neb. Rev Stat. §§ 69-2403, 69-2404, 69-2411",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,TX,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,KS,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,OK,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MN,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,IA,1994,All,Yes,Iowa Code § 724.15,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,LA,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,AR,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MO,1994,All,Yes,§ 571.090 R.S.Mo,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MS,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,WI,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,IL,1994,All,Yes,430 Ill. Comp. Stat. 65/2, 430 Ill. Comp. Stat. 65/3,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,AL,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,TN,1994,All,Yes,"Tenn. Code Ann. § 39-17-1316(b)(1), (d)",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,IN,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,KY,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MI,1994,All,Yes,"MCLS §§ 28.422, 28.426",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,GA,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,OH,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,FL,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,WV,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,SC,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NC,1994,All,Yes,N.C. Gen. Stat. § 14-402(a),,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,PA,1994,All,Yes,18 Pa. Cons. Stat. § 6111(b),"At the time of purchase, a buyer must fill out an application for purchase, which the seller then sends to local law enforcement. The firearm cannot be delivered until 48 hours elapse from the time of application.",
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,VA,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MD,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,DC,1994,All,Yes,D.C. Code § 6-2311, D.C. Code § 6-2352,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NY,1994,All,Yes,N.Y. Penal Law § 400.00(4),,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,DE,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NJ,1994,All,Yes,"N.J. Stat. § 2C:58-3(a), (b)",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,CT,1994,All,Yes,Conn. Gen. Stat. § 29-33(c),,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,VT,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NH,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MA,1994,All,Yes,"Mass. Gen. Laws ch. 140, § 128A",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,RI,1994,All,Yes,R.I. Gen. Laws § 11-47-35(a)(2), R.I. Gen. Laws § 11-47-35.2(b),
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,ME,1994,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,HI,1995,All,Yes,Haw. Rev. Stat. §134-2,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,AK,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,OR,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,WA,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,CA,1995,All,Yes,"Cal. Penal Code §§ 12072(c),(d), 12076(d), 12082(a)",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NV,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,ID,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,UT,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,AZ,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MT,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,WY,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NM,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,CO,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,ND,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,SD,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NE,1995,All,Yes,"Neb. Rev Stat. §§ 69-2403, 69-2404, 69-2411",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,TX,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,KS,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,OK,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MN,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,IA,1995,All,Yes,Iowa Code § 724.15,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,LA,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,AR,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MO,1995,All,Yes,§ 571.090 R.S.Mo,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MS,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,WI,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,IL,1995,All,Yes,430 Ill. Comp. Stat. 65/2, 430 Ill. Comp. Stat. 65/3,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,AL,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,TN,1995,All,Yes,"Tenn. Code Ann. § 39-17-1316(b)(1), (d)",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,IN,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,KY,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MI,1995,All,Yes,"MCLS §§ 28.422, 28.426",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,GA,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,OH,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,FL,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,WV,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,SC,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NC,1995,All,Yes,N.C. Gen. Stat. § 14-402(a),,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,PA,1995,All,Yes,18 Pa. Cons. Stat. § 6111(c),,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,VA,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MD,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,DC,1995,All,Yes,D.C. Code § 6-2311, D.C. Code § 6-2352,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NY,1995,All,Yes,N.Y. Penal Law § 400.00(4),,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,DE,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NJ,1995,All,Yes,"N.J. Stat. § 2C:58-3(a), (b)",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,CT,1995,All,Yes,Conn. Gen. Stat. § 29-33(c),,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,VT,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NH,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MA,1995,All,Yes,"Mass. Gen. Laws ch. 140, § 128A",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,RI,1995,All,Yes,R.I. Gen. Laws § 11-47-35(a)(2), R.I. Gen. Laws § 11-47-35.2(b),
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,ME,1995,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,HI,1996,All,Yes,Haw. Rev. Stat. §134-2,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,AK,1996,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,OR,1996,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,WA,1996,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,CA,1996,All,Yes,"Cal. Penal Code §§ 12072(c),(d), 12076(d), 12082(a)",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NV,1996,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,ID,1996,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,UT,1996,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,AZ,1996,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MT,1996,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,WY,1996,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NM,1996,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,CO,1996,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,ND,1996,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,SD,1996,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,NE,1996,All,Yes,"Neb. Rev Stat. §§ 69-2403, 69-2404, 69-2411",,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,TX,1996,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,KS,1996,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,OK,1996,All,No,,,
1,Does state law require criminal background checks for gun sales by unlicensed sellers?,MN,1996,All,No,,,
